pmid,model,comment,Q-1-b-3,Q-1-c-3,Q-2-b-3,Q-2-c-3,Q-3-b-3,Q-3-c-3,Q-4-b-3,Q-4-c-3,Q-5-b-3,Q-5-c-3
35011056,o4-mini,,-,-,-,-,-,missing univariable MR,-,-,-,missing null and multivariant results
34023889,o4-mini,,-,missing third bidirectional exposure,-,-,-,-,-,-,-,-
36936171,o4-mini,,-,-,-,-,-,-,-,-,-,-
36738839,o4-mini,,-,-,-,-,-,-,missing output,missing output,-,missing secondary results
37822602,o4-mini,,-,missing overall exposure,-,-,missing details on sensitivity,-,missing sample size info and second population,-,-,missing null result
32529581,o4-mini,,-,-,-,-,-,-,missing output,missing output,-,-
36793015,o4-mini,,-,-,-,-,-,-,-,-,-,missing main results
36909950,o4-mini,,-,-,-,-,-,-,-,-,-,-
36514134,o4-mini,,-,-,-,-,-,-,-,-,-,missing suggestive results
37829610,o4-mini,,-,-,-,-,-,-,-,-,-,missing main results
38782862,o4-mini,,-,-,-,-,-,-,-,-,-,-
35761866,o4-mini,,-,-,-,-,-,-,-,-,-,-
37409643,o4-mini,,-,-,-,-,-,-,-,-,-,-
32433745,o4-mini,,-,-,-,-,-,-,-,-,-,only output listed results and not the 28 mentioned
33657885,o4-mini,,,,,,,,,,,
38746746,o4-mini,,-,-,-,-,-,-,missing output,missing output,-,-
36247759,o4-mini,,-,-,-,-,-,missing MR method,-,-,-,missing null results
37422736,o4-mini,,-,-,-,-,-,-,-,-,-,-
36924037,o4-mini,,-,-,-,-,-,-,-,-,-,missing null results
37916108,o4-mini,,-,-,-,-,-,-,missing output,missing output,-,missing null results
38716647,o4-mini,,-,-,-,-,-,-,-,-,-,missing null results
37565992,o4-mini,,-,-,-,-,-,-,missing output,missing output,-,-
38263277,o4-mini,,-,-,-,-,-,-,-,-,-,missing sensitivity results
35615025,o4-mini,,-,-,-,-,-,-,-,-,-,-
38280379,o4-mini,,-,-,-,-,-,-,-,-,-,-
23900446,o4-mini,,-,-,-,-,-,-,-,-,-,missing MR result
38264282,o4-mini,,-,-,-,-,-,-,missing output,missing output,-,missing null results
37158995,o4-mini,,-,-,-,missing outcome subtype,-,-,-,-,-,missing secondary result
37668928,o4-mini,,-,-,-,-,-,-,-,-,-,-
21282362,o4-mini,,-,-,-,-,-,-,-,-,-,-
32309857,o4-mini,,-,-,-,-,-,-,-,-,-,-
32493397,o4-mini,,-,-,-,-,-,-,-,-,-,missing in text and null results
31733098,o4-mini,,-,missing bi directional exposures,-,-,-,-,missing output,missing output,-,missing null result
37789337,o4-mini,,-,-,-,-,-,-,missing output,missing output,-,missing results
37904919,o4-mini,,-,-,-,-,-,missing replication,-,-,-,-
38725159,o4-mini,,-,-,-,-,-,-,-,-,-,-
38053214,o4-mini,,-,missing some exposures ,-,missing other bidirectional outcomes,-,-,-,-,-,-
33125193,o4-mini,,-,-,-,-,-,-,-,-,-,missing null result
38246357,o4-mini,,-,-,-,-,-,-,missing sample size,-,-,missing null results and written out results
37787818,o4-mini,,-,-,-,-,-,-,-,-,-,missing some main results
38765751,o4-mini,,-,-,-,-,-,-,missing output,missing output,-,missing multivariate results
31908803,o4-mini,,-,-,-,-,-,-,-,-,-,missing null result
37638499,o4-mini,,-,-,-,-,-,-,missing output,missing output,missing output,missing output
38516009,o4-mini,,-,-,-,-,missing details on sensitivity,-,missing output,missing output,-,-
38576413,o4-mini,,-,-,-,-,-,-,-,-,-,-
35575213,o4-mini,,-,-,-,-,-,-,missing output,missing output,-,-
38646850,o4-mini,,-,-,-,-,-,-,-,-,-,-
38511766,o4-mini,,-,-,-,-,-,-,missing output,missing output,missing info on the origin of each result,-
37052410,o4-mini,,-,-,-,-,-,-,missing output,missing output,-,-
29232439,o4-mini,,-,-,-,-,-,missing methods,-,-,-,-
34184784,o4-mini,,-,-,-,-,-,-,-,-,-, missing null MR result
38007229,o4-mini,,-,-,-,-,-,missing reverse MR,-,-,missing details about the origin of each result,-
38293563,o4-mini,,-,-,-,-,-,-,missing output,missing output,-,-
34025845,o4-mini,,-,-,-,-,-,-,missing output,missing output,-,missing primary results
30167974,gpt-4o,,-,-,-,-,-,The model misses the other methods,-,-,The model adds extra decimals to the SE values,The model missed out the bonferroni corrected result and lists the direction as null for some results
38179043,gpt-4o,,-,missed the reverse MR,-,missed cholesterol and reverse MR,-,-,-,-,-,-
36104772,gpt-4o,,-,-,-,-,-,-,no details on numbers,-,no info on ancestry ,Missing results from different ancestries and null
36305497,gpt-4o,,-,-,-,-,-,-,no details on numbers,-,-,-
38365715,gpt-4o,,-,-,-,-,Not enough details on sensitivity tests,Missing other tests,-,-,-,-
34088753,gpt-4o,,-,-,-,-,-,-,-,-,-,-
36773317,gpt-4o,,-,-,-,-,missing MR type,-,no details on numbers,-,-,Missing some results 
33408737,gpt-4o,,,,,,,,,,,
36980988,gpt-4o,,,,,,,,,,,
36895273,gpt-4o,,-,-,-,-,-,missing methods,no details on numbers,-,-,missing multivariable
38298515,gpt-4o,,,,,,,,,,,
37933065,gpt-4o,,-,-,-,-,-,missing methods,-,-,-,missing sensitivity results
36333784,gpt-4o,,,,,,,,,,,
38378549,gpt-4o,,-,-,-,-,-,-,-,-,-,-
38179450,gpt-4o,,,,,,,,,,,
30707692,gpt-4o,,,,,,,,,,,
35992145,gpt-4o,,-,missing exposure,-,-,-,-,missing detail,missing most numbers,-,missing null results and confirming analyses
38622701,gpt-4o,,-,-,-,-,-,missing sensitivity,result missing,result missing,-,missing some results
31661179,gpt-4o,,-,missing exposure subtypes,-,-,-,-,no info output,missing all information needed,-,-
36789917,gpt-4o,,,,,,,,,,,
38672162,gpt-4o,,-,-,-,-,-,missing sensitivity analyses,-,-,missing info on method per result,-
35957835,gpt-4o,,,,,,,,,,,
37495778,gpt-4o,,-,-,-,-,missing info on tests,-,no population info,no population info,-,missing sensitivity results
32062614,gpt-4o,,,,,,,,,,,
34227468,gpt-4o,,-,-,need info on pheWAS,-,needs info about phewas,-,tissue information not population,wrong result,-,missing results
37271768,gpt-4o,,,,,,,,,,,
38643889,gpt-4o,,,,,,,,,,,
38625888,gpt-4o,,,,,,,,,,,
38156559,gpt-4o,,,,,,,,,,,
37675772,gpt-4o,,-,-,-,-,-,-,-,-,-,-
34727949,gpt-4o,,-,-,-,-,-,missing multivariable regression,missing detail on numbers ,-,missing info on the outcomes,missing key results 
38242214,gpt-4o,,-,-,-,-,-,-,missing detail on numbers ,-,-,missing reverse
38699385,gpt-4o,,-,-,-,-,-,missed methods,no details on numbers,-,-,-
37693321,gpt-4o,,,,,,,,,,,
35656325,gpt-4o,,-,-,-,missing reverse,-,missing reverse,missing sample size,-,-,missing results
37432894,gpt-4o,,-,-,-,-,-,-,-,-,-,-
38409624,gpt-4o,,,,,,,,,,,
38504987,gpt-4o,,-,-,-,-,-,-,missing sample size ,-,-,-
35703944,gpt-4o,,-,-,-,-,-,-,no details on numbers,-,-,-
38584824,gpt-4o,,-,-,-,-,-,-,-,-,-,missing negative results
37925898,gpt-4o,,-,-,-,-,-,replication analysis missing,missing numbers,-,missing output,missing output
35726641,gpt-4o,,-,-,-,-,-,-,missing numbers,-,-,missing key results
35594314,gpt-4o,,-,-,-,-,-,-,missing numbers ,-,-,-
38030236,gpt-4o,,-,-,-,-,-,-,missing numbers and details,missing output,-,missing gene target result
37718242,gpt-4o,,-,-,-,-,missing info on sensitivity,-,missing output,missing output,-,-
32714368,gpt-4o,,-,-,-,-,-,missing sensitivity analyses,missing output,missing output,-,-
35011056,gpt-4o,,-,-,-,-,-,missing univariable MR,-,-,-,missing null and multivariant results
34023889,gpt-4o,,-,-,-,-,-,missing bidirectional methods,missing sample size ,-,-,-
36936171,gpt-4o,,-,missing primary exposures,-,-,missing info on sensitivity,-,-,-,-,missing reverse result
36738839,gpt-4o,,,,,,,,,,,
37822602,gpt-4o,,-,-,-,-,missing details on sensitivity,-,missing sample size info and second population,-,-,missing null result
32529581,gpt-4o,,-,-,-,-,-,-,missing output,missing output,-,-
36793015,gpt-4o,,-,-,-,-,-,-,missing output,missing output,-,missing main results
36909950,gpt-4o,,,,,,,,,,,
36514134,gpt-4o,,-,-,-,missing overall cancer,-,-,missing sample size,-,-,missing suggestive results
37829610,gpt-4o,,-,-,-,-,missing sensitivity info,-,missing output,missing output,-,missing main results
38782862,gpt-4o,,-,-,-,-,-,-,-,-,-,-
35761866,gpt-4o,,-,-,-,-,missing outpu,missing output,missing sample size,-,-,missing reverse results
37409643,gpt-4o,,-,-,-,-,-,-,-,-,-,-
32433745,gpt-4o,,-,-,-,-,-,-,-,-,-,only output listed results and not the 28 mentioned
33657885,gpt-4o,,,,,,,,,,,
38746746,gpt-4o,,-,-,-,-,missing info on sensitivity analyses,-,missing output,missing output,-,-
36247759,gpt-4o,,-,-,-,-,-,missing sensitivity analysis,-,missing outcome population,-,missing null results
37422736,gpt-4o,,-,-,-,-,-,-,missing sample size,-,-,-
36924037,gpt-4o,,,,,,,,,,,
37916108,gpt-4o,,,,,,,,,,,
38716647,gpt-4o,,-,-,-,-,-,-,missing sample size,-,-,missing null results
37565992,gpt-4o,,,,,,,,,,,
38263277,gpt-4o,,-,-,-,-,-,missing main methods and sensitivity,missing output,missing output,-,missing sensitivity results
35615025,gpt-4o,,-,-,-,-,-,-,-,-,-,-
38280379,gpt-4o,,-,-,-,-,-,-,-,-,-,-
23900446,gpt-4o,,,,,,,,,,,
38264282,gpt-4o,,,,,,,,,,,
37158995,gpt-4o,,,,,,,,,,,
37668928,gpt-4o,,-,-,-,-,-,-,-,-,-,-
21282362,gpt-4o,,-,-,-,-,-,-,-,-,-,-
32309857,gpt-4o,,,,,,,,,,,
32493397,gpt-4o,,,,,,,,,,,
31733098,gpt-4o,,,,,,,,,,,
37789337,gpt-4o,,no numbers for the traits,-,-,-,-,-,missing output,missing output,-,missing results
37904919,gpt-4o,,-,-,-,-,-,missing replication,missing output,missing output,-,-
38725159,gpt-4o,,,,,,,,,,,
38053214,gpt-4o,,,,,,,,,,,
33125193,gpt-4o,,-,-,-,-,-,missing reverse mr,missing sample size,-,-,missing null result
38246357,gpt-4o,,-,-,-,-,-,-,missing sample size,-,-,missing null results and written out results
37787818,gpt-4o,,,,,,,,,,,
38765751,gpt-4o,,-,-,-,-,-,-,missing output,missing output,-,missing multivariate results
31908803,gpt-4o,,-,-,-,-,-,missing main methods and sensitivity,missing sample size,-,-,missing null result
37638499,gpt-4o,,-,-,-,-,missing sensitivity details,-,missing output,missing output,missing output,missing output
38516009,gpt-4o,,-,-,-,-,missing details on sensitivity,-,missing output,missing output,-,-
38576413,gpt-4o,,-,-,-,missing primary outcomes,-,missing main methods and sensitivity,missing sample size,-,-,-
35575213,gpt-4o,,missing details on exposures,-,-,-,-,-,missing output,missing output,-,-
38646850,gpt-4o,,-,-,-,-,missing details on sensitivity,-,missing sample size,-,-,missing reverse
38511766,gpt-4o,,,,,,,,,,,
37052410,gpt-4o,,-,-,-,-,-,-,missing output,missing output,-,missing primary result
29232439,gpt-4o,,,,,,,,,,,
34184784,gpt-4o,,,,,,,,,,,
38007229,gpt-4o,,-,-,-,-,-,missing reverse MR,no detail,-,-,missing primary results
38293563,gpt-4o,,-,-,-,-,-,-,missing output,missing output,-,missing primary results
34025845,gpt-4o,,-,-,-,-,missing details on sensitivity,-,missing output,missing output,-,missing primary results
30167974,gpt-4-1,,-,-,-,-,-,-,-,-,The model adds extra decimals to the SE values,The model missed out the bonferroni corrected result and lists the direction as null for some results
38179043,gpt-4-1,,-,-,-,-,-,-,-,-,-,-
36104772,gpt-4-1,,-,-,-,-,-,-,no details on numbers,-,-,-
36305497,gpt-4-1,,-,-,-,-,-,-,no details on numbers,-,-,-
38365715,gpt-4-1,,-,-,-,-,- ,-,-,-,-,-
34088753,gpt-4-1,,-,-,-,-,-,-,-,-,-,-
36773317,gpt-4-1,,-,-,-,-,-,-,-,-,grouped together results ,-
33408737,gpt-4-1,,-,-,-,-,-,-,-,-,needed info on method used per result,-
36980988,gpt-4-1,,-,-,-,-,-,-,-,-,-,-
36895273,gpt-4-1,,-,-,-,-,-,-,-,-,-,missing multivariable
38298515,gpt-4-1,,-,-,-,missing positive control,-,-,-,-,-,-
37933065,gpt-4-1,,-,-,-,-,-,missing methods,-,-,-,missing sensitivity results
36333784,gpt-4-1,,-,-,-,missing outcomes,-,-,no population,no population info,-,-
38378549,gpt-4-1,,-,-,-,-,-,-,-,-,-,-
38179450,gpt-4-1,,-,-,-,-,-,-,-,-,-,-
30707692,gpt-4-1,,-,-,phewas but only a few traits listed,-,-,-,-,-,-,-
35992145,gpt-4-1,,-,-,-,-,-,-,missing detail,missing most numbers,-,missing null results and confirming analyses
38622701,gpt-4-1,,-,-,-,-,-,-,-,-,-,-
31661179,gpt-4-1,,-,-,-,-,-,-,lacking more info,missing some information on numbers,-,-
36789917,gpt-4-1,,-,-,-,-,-,-,-,-,-, missing result
38672162,gpt-4-1,,-,-,-,-,-,-,-,-,missing info on method per result,-
35957835,gpt-4-1,,-,-,-,-,-,-,-,-,-,-
37495778,gpt-4-1,,-,-,-,-,-,missing methods,-,-,-,missing sensitivity results
32062614,gpt-4-1,,-,-,-,-,-,-,-,-,-,missing reverse
34227468,gpt-4-1,,-,-,need info on pheWAS,-,needs info about phewas,-,-,-,-,-
37271768,gpt-4-1,,-,-,-,-,-,-,missing sample size,-,-,missing sensiticity
38643889,gpt-4-1,,-,-,-,-,-,-,-,-,-,-
38625888,gpt-4-1,,-,-,-,-,-,-,-,-,-,missing result
38156559,gpt-4-1,,-,-,-,-,-,-,-,-,-,-
37675772,gpt-4-1,,-,-,-,-,-,-,-,-,-,-
34727949,gpt-4-1,,-,-,-,-,-,-,-,-,missing info on the outcomes,missing key results 
38242214,gpt-4-1,,-,-,-,-,-,-,-,-,-,-
38699385,gpt-4-1,,-,-,-,-,-,-,-,-,-,missing reverse and in detail
37693321,gpt-4-1,,-,-,-,-,-,-,-,-,-,missing reverse
35656325,gpt-4-1,,-,-,-,missing some reverse,-,missing reverse,missing sample size,-,-,missing results
37432894,gpt-4-1,,-,-,-,-,-,-,-,-,-,-
38409624,gpt-4-1,,-,-,-,-,missing info on sensitivity,-,-,-,-,-
38504987,gpt-4-1,,-,-,-,-,-,-,-,-,-,-
35703944,gpt-4-1,,-,-,-,-,-,-,-,-,-,-
38584824,gpt-4-1,,-,-,-,-,-,-,-,-,-,missing negative results
37925898,gpt-4-1,,-,-,-,-,-,replication analysis missing,-,missing numbers and replication,-,-
35726641,gpt-4-1,,-,-,-,-,-,-,-,-,-,missing key results
35594314,gpt-4-1,,-,-,-,-,-,-,-,-,-, missing null results
38030236,gpt-4-1,,-,-,-,-,-,-,missing numbers and details,missing output,-,-
37718242,gpt-4-1,,-,-,-,-,-,missing MR method,missing output,missing output,-,-
32714368,gpt-4-1,,-,-,-,-,-,-,-,-,-,-
35011056,gpt-4-1,,-,-,-,-,-,missing univariable MR,-,-,-,missing null and multivariant results
34023889,gpt-4-1,,-,missing third bidirectional exposure,-,-,-,-,-,-,-,-
36936171,gpt-4-1,,-,-,-,-,-,-,-,-,-,-
36738839,gpt-4-1,,-,-,-,-,-,-,missing output,missing output,-,missing secondary results
37822602,gpt-4-1,,-,missing overall exposure,-,-,-,-,-,-,-,missing null result
32529581,gpt-4-1,,-,-,-,-,-,-,missing any info,missing population info,-,-
36793015,gpt-4-1,,-,-,-,-,-,-,-,-,-,missing main results
36909950,gpt-4-1,,-,-,-,-,missing info on sensitivity,-,-,-,-,-
36514134,gpt-4-1,,-,-,-,-,-,-,-,-,-,missing suggestive results
37829610,gpt-4-1,,-,-,-,-,missing sensitivity info,-,-,-,-,missing main results
38782862,gpt-4-1,,-,-,-,-,-,-,-,-,-,-
35761866,gpt-4-1,,-,-,-,-,-,-,-,-,-,missing reverse results
37409643,gpt-4-1,,-,-,-,-,-,-,-,-,-,-
32433745,gpt-4-1,,-,-,-,-,-,-,-,-,-,only output listed results and not the 28 mentioned
33657885,gpt-4-1,,,,,,,,,,,
38746746,gpt-4-1,,-,-,-,-,-,-,missing output,missing output,-,-
36247759,gpt-4-1,,-,-,-,-,-,-,-,-,-,missing null results
37422736,gpt-4-1,,-,-,-,-,-,-,-,-,-,-
36924037,gpt-4-1,,-,-,-,-,-,-,-,-,-,missing null results
37916108,gpt-4-1,,-,-,-,-,-,-,missing output,missing output,-,-
38716647,gpt-4-1,,-,-,-,-,-,-,-,-,-,missing null results
37565992,gpt-4-1,,-,-,-,-,-,missing replication,missing output,missing output,10,10
38263277,gpt-4-1,,-,-,-,-,-,-,-,-,-,missing sensitivity results
35615025,gpt-4-1,,-,-,-,-,-,-,-,-,-,-
38280379,gpt-4-1,,-,-,-,-,-,-,-,-,-,-
23900446,gpt-4-1,,-,-,-,-,-,-,missing sample size,-,-,missing MR result
38264282,gpt-4-1,,-,-,-,-,missing details on sensitivity,-,missing output,missing output,-,missing null results
37158995,gpt-4-1,,-,-,-,-,missing details on sensitivity,-,-,-,-,missing secondary result
37668928,gpt-4-1,,-,-,-,-,-,-,-,-,-,-
21282362,gpt-4-1,,-,-,-,-,-,-,-,-,-,-
32309857,gpt-4-1,,-,-,-,-,-,-,missing sample size,-,-,-
32493397,gpt-4-1,,-,-,-,-,-,-,-,-,-,missing in text and null results
31733098,gpt-4-1,,-,-,-,-,-,-,missing output,missing output,-,-
37789337,gpt-4-1,,-,-,-,-,-,-,missing output,missing output,-,missing results
37904919,gpt-4-1,,-,-,-,-,-,missing replication,-,-,-,-
38725159,gpt-4-1,,-,-,-,-,-,-,-,-,-,-
38053214,gpt-4-1,,-,-,-,missing other bidirectional outcomes,-,-,-,-,-,-
33125193,gpt-4-1,,-,-,-,-,-,-,-,-,-,missing null result
38246357,gpt-4-1,,-,-,-,-,-,-,missing sample size,-,-,missing null results and written out results
37787818,gpt-4-1,,-,-,-,-,-,-,-,-,-,missing some main results
38765751,gpt-4-1,,-,-,-,-,-,-,missing output,missing output,-,missing multivariate results
31908803,gpt-4-1,,-,-,-,-,-,missing validation,-,-,-,-
37638499,gpt-4-1,,-,-,-,-,missing sensitivity details,-,-,-,-,-
38516009,gpt-4-1,,-,-,-,-,-,-,missing output,missing output,-,-
38576413,gpt-4-1,,-,-,-,-,-,-,-,-,-,-
35575213,gpt-4-1,,missing details on exposures,-,-,-,-,-,missing output,missing output,-,-
38646850,gpt-4-1,,-,-,-,-,-,-,-,-,-,-
38511766,gpt-4-1,,-,-,-,-,-,-,missing output,missing output,missing info on the origin of each result,-
37052410,gpt-4-1,,-,-,-,-,-,-,-,-,-,missing primary result
29232439,gpt-4-1,,-,-,-,-,-,-,missing sample size,-,-,-
34184784,gpt-4-1,,-,-,-,-,-,missing reverse MR,-,-,-, missing null MR result
38007229,gpt-4-1,,-,-,-,-,-,missing reverse MR,-,-,-,missing primary results
38293563,gpt-4-1,,-,-,-,-,-,-,missing output,missing output,-,-
34025845,gpt-4-1,,-,-,-,-,-,-,missing output,missing output,-,missing primary results
30167974,gpt-5,,-,-,-,-,-,-,-,-,Decimal place issues,Missing bonferroni result
38179043,gpt-5,,-,-,-,-,-,-,-,-,-,-
36104772,gpt-5,,-,-,-,-,-,-,-,-,No info on ancestry in results,-
36305497,gpt-5,,-,-,-,-,-,-,-,-,-,-
38365715,gpt-5,,-,-,-,-,-,-,-,-,-,-
34088753,gpt-5,,-,-,-,-,-,-,-,-,-,-
36773317,gpt-5,,-,-,-,-,-,-,-,-,-,-
33408737,gpt-5,,,,,,,,,,,
36980988,gpt-5,,,,,,,,,,,
36895273,gpt-5,,-,-,-,-,-,-,-,-,-,missing information from multivariable
38298515,gpt-5,,,,,,,,,,,
37933065,gpt-5,,-,-,-,-,-,-,-,-,-,missing sensitivity results
36333784,gpt-5,,,,,,,,,,,
38378549,gpt-5,,-,-,-,-,-,-,-,-,-,-
38179450,gpt-5,,,,,,,,,,,
30707692,gpt-5,,,,,,,,,,,
35992145,gpt-5,,-,-,-,-,-,-,missing detail,missing most numbers,missing details on confirming results ,-
38622701,gpt-5,,-,-,-,-,-,-,-,-,-,-
31661179,gpt-5,,-,-,-,-,-,-,-,-,-,-
36789917,gpt-5,,,,,,,,,,,
38672162,gpt-5,,-,-,-,-,-,-,-,-,missing info on method per result,-
35957835,gpt-5,,,,,,,,,,,
37495778,gpt-5,,-,-,-,-,-,-,-,-,-,missing sensitivity results
32062614,gpt-5,,,,,,,,,,,
34227468,gpt-5,,-,-,need info on pheWAS,-,-,-,-,-,-,missing results
37271768,gpt-5,,,,,,,,,,,
38643889,gpt-5,,,,,,,,,,,
38625888,gpt-5,,,,,,,,,,,
38156559,gpt-5,,,,,,,,,,,
37675772,gpt-5,,-,-,-,-,-,-,-,-,-,-
34727949,gpt-5,,-,-,-,-,-,-,-,-,missing the values from some key results,-
38242214,gpt-5,,-,-,-,-,-,-,-,-,-,-
38699385,gpt-5,,-,-,-,-,-,-,-,-,-,-
37693321,gpt-5,,,,,,,,,,,
35656325,gpt-5,,-,-,-,-,-,-,-,-,-,missing results
37432894,gpt-5,,-,-,-,-,-,-,-,-,-,-
38409624,gpt-5,,,,,,,,,,,
38504987,gpt-5,,-,-,-,-,-,-,-,-,-,-
35703944,gpt-5,,-,-,-,-,-,-,-,-,-,-
38584824,gpt-5,,-,-,-,-,-,-,-,-,-,missing negative results
37925898,gpt-5,,-,-,-,-,-,-,-,-,-,-
35726641,gpt-5,,-,-,-,-,-,-,-,-,-,missing key results
35594314,gpt-5,,-,-,-,-,-,-,-,-,-,-
38030236,gpt-5,,-,-,-,-,-,-,missing numbers and details,missing output,-,-
37718242,gpt-5,,-,-,-,-,-,missing MR method,-,-,-,-
32714368,gpt-5,,-,-,-,-,-,-,-,-,-,-
35011056,gpt-5,,-,-,-,-,-,-,-,-,-,missing null and multivariant results
34023889,gpt-5,,-,missing third bidirectional exposure,-,-,-,-,-,-,-,-
36936171,gpt-5,,-,-,-,-,-,-,-,-,-,-
36738839,gpt-5,,,,,,,,,,,
37822602,gpt-5,,-,-,-,-,-,-,-,-,-,missing null result
32529581,gpt-5,,-,-,-,-,-,-,missing sample size,-,-,-
36793015,gpt-5,,-,-,-,-,-,-,-,-,-,missing main results
36909950,gpt-5,,,,,,,,,,,
36514134,gpt-5,,-,-,-,-,-,-,-,-,-,-
37829610,gpt-5,,-,-,-,-,-,-,-,-,-,missing main results
38782862,gpt-5,,-,-,-,-,-,-,-,-,-,-
35761866,gpt-5,,-,-,-,-,-,-,-,-,-,-
37409643,gpt-5,,-,-,-,-,-,-,-,-,-,-
32433745,gpt-5,,-,-,-,-,-,-,-,-,-,only output listed results and not the 28 mentioned
33657885,gpt-5,,,,,,,,,,,
38746746,gpt-5,,-,-,-,-,-,-,missing output,missing output,-,-
36247759,gpt-5,,-,-,-,-,-,-,-,-,-,missing null results
37422736,gpt-5,,-,-,-,-,-,-,-,-,-,-
36924037,gpt-5,,,,,,,,,,,
37916108,gpt-5,,,,,,,,,,,
38716647,gpt-5,,-,-,-,-,-,-,-,-,-,missing null results
37565992,gpt-5,,,,,,,,,,,
38263277,gpt-5,,-,-,-,-,-,-,missing output,missing output,-,missing sensitivity results
35615025,gpt-5,,-,-,-,-,-,-,-,-,-,-
38280379,gpt-5,,-,-,-,-,-,-,-,-,-,-
23900446,gpt-5,,,,,,,,,,,
38264282,gpt-5,,,,,,,,,,,
37158995,gpt-5,,,,,,,,,,,
37668928,gpt-5,,-,-,-,-,-,-,-,-,-,-
21282362,gpt-5,,-,-,-,-,-,-,-,-,-,-
32309857,gpt-5,,,,,,,,,,,
32493397,gpt-5,,,,,,,,,,,
31733098,gpt-5,,,,,,,,,,,
37789337,gpt-5,,-,-,-,-,-,-,-,-,missing result values and bacteria specification,-
37904919,gpt-5,,-,-,-,-,-,-,-,-,-,-
38725159,gpt-5,,,,,,,,,,,
38053214,gpt-5,,,,,,,,,,,
33125193,gpt-5,,-,-,-,-,-,-,-,-,-,-
38246357,gpt-5,,-,-,-,-,-,-,-,-,-,missing null results and written out results
37787818,gpt-5,,,,,,,,,,,
38765751,gpt-5,,-,-,-,-,-,-,-,-,-,-
31908803,gpt-5,,-,-,-,-,-,-,-,-,-,-
37638499,gpt-5,,-,-,-,-,-,-,missing output,missing output,-,-
38516009,gpt-5,,-,-,-,-,-,-,-,-,-,-
38576413,gpt-5,,-,-,-,-,-,-,-,-,-,-
35575213,gpt-5,,-,-,-,-,-,-,missing output,missing output,-,-
38646850,gpt-5,,-,-,-,-,-,-,-,-,-,-
38511766,gpt-5,,,,,,,,,,,
37052410,gpt-5,,-,-,-,-,-,-,-,-,-,-
29232439,gpt-5,,,,,,,,,,,
34184784,gpt-5,,,,,,,,,,,
38007229,gpt-5,,-,-,-,-,-,-,-,-,-,-
38293563,gpt-5,,-,-,-,-,-,-,-,-,-,-
34025845,gpt-5,,-,-,-,-,-,-,missing output,missing output,missing info on the origin of each results,-
30167974,gpt-5-mini,,-,-,-,-,-,-,-,-,Decimal place issues,Missing bonferroni result
38179043,gpt-5-mini,,-,-,-,-,-,-,-,-,-,-
36104772,gpt-5-mini,,-,-,-,-,-,-,-,-,No info on ancestry in results,-
36305497,gpt-5-mini,,-,-,-,-,-,-,-,-,-,-
38365715,gpt-5-mini,,-,-,-,-,-,-,-,-,-,-
34088753,gpt-5-mini,,-,-,-,-,-,-,-,-,-,-
36773317,gpt-5-mini,,-,-,-,-,-,-,-,-,-,-
33408737,gpt-5-mini,,,,,,,,,,,
36980988,gpt-5-mini,,,,,,,,,,,
36895273,gpt-5-mini,,-,-,-,-,-,-,-,-,-,-
38298515,gpt-5-mini,,,,,,,,,,,
37933065,gpt-5-mini,,-,-,-,-,-,-,-,-,-,missing sensitivity results
36333784,gpt-5-mini,,,,,,,,,,,
38378549,gpt-5-mini,,-,-,-,-,-,missing info on the other analysis,-,-,-,-
38179450,gpt-5-mini,,,,,,,,,,,
30707692,gpt-5-mini,,,,,,,,,,,
35992145,gpt-5-mini,,-,-,-,-,-,-,-,-,missing details on confirming results ,-
38622701,gpt-5-mini,,-,-,-,-,-,-,-,-,-,-
31661179,gpt-5-mini,,-,-,-,-,-,-,-,-,-,-
36789917,gpt-5-mini,,,,,,,,,,,
38672162,gpt-5-mini,,-,-,-,-,-,-,-,-,missing info on method per result,-
35957835,gpt-5-mini,,,,,,,,,,,
37495778,gpt-5-mini,,-,-,-,-,-,-,-,-,-,missing sensitivity results
32062614,gpt-5-mini,,,,,,,,,,,
34227468,gpt-5-mini,,-,-,need info on pheWAS,-,-,-,-,-,-,-
37271768,gpt-5-mini,,,,,,,,,,,
38643889,gpt-5-mini,,,,,,,,,,,
38625888,gpt-5-mini,,,,,,,,,,,
38156559,gpt-5-mini,,,,,,,,,,,
37675772,gpt-5-mini,,-,-,-,-,-,-,-,-,-,-
34727949,gpt-5-mini,,-,-,-,-,-,-,-,-,-,-
38242214,gpt-5-mini,,-,-,-,-,-,-,-,-,-,-
38699385,gpt-5-mini,,-,-,-,-,-,-,-,-,-,-
37693321,gpt-5-mini,,,,,,,,,,,
35656325,gpt-5-mini,,-,-,-,-,-,-,-,-,-,missing results
37432894,gpt-5-mini,,-,-,-,-,-,-,-,-,-,-
38409624,gpt-5-mini,,,,,,,,,,,
38504987,gpt-5-mini,,-,-,-,-,-,-,-,-,-,-
35703944,gpt-5-mini,,-,-,-,-,-,-,-,-,-,-
38584824,gpt-5-mini,,-,-,-,-,-,-,-,-,-,missing negative results
37925898,gpt-5-mini,,-,-,-,-,-,-,-,-,-,-
35726641,gpt-5-mini,,-,-,-,-,-,-,-,-,-,-
35594314,gpt-5-mini,,-,-,-,-,-,-,-,-,-,-
38030236,gpt-5-mini,,-,-,-,-,-,-,-,-,-,-
37718242,gpt-5-mini,,-,-,-,-,-,-,-,-,-,-
